ITEMID,ORIGINALID,ITEMNAME,CATEGORY,PRICE,EXPLANATION,IMAGENAME
1001001,B000000001,ラガービール,1001,185,ラガーらしいうまさを追求し、ホップにこだわり、よりホップをきかせた味わいに。ビールならではの、のどにグッとくる刺激感とコク・飲みごたえのある味を強化しました。ガツン！とくる。それがビール。ジラフラガービール。,beer.png
1001002,B000000002,二番搾り〈生〉,1001,190,麦芽100%の上質なうまみを、キリンのビールづくりの象徴、二番搾り製法により丁寧に引き出した、贅沢なビールです。,beer.png
1001003,B000000003,サッパリ〈生ビール〉黒ラベル,1001,230,サッパリビールのフィールドマンが世界中の生産者を訪れ、サッパリ生ビール黒ラベルのための麦芽とホップを一緒につくる。そして、その中からサッパリ生ビールの品質にふさわしい麦芽とホップだけを選び抜いたビールです。,beer.png
1001004,B000000004,アビスビール,1001,245,アビスビールは、厳選されたアロマホップをふんだんに使用し、長期熟成によって生まれた、素材と製法にこだわる麦100％のビールです。,beer.png
1001005,B000000005,ユウヒスーパートライ,1001,190,辛口・キレ・鮮度。スーパーの主張が多くのお客さまに支持されています。鮮度でキレが冴える。雑味がないから料理のうまさを損ねない。洗練されたクリアな味・辛口。うまさが違うビールです。 ,beer.png
1001006,B000000006,タキオンスペシャル　エックス,1001,144,タキオンスペシャルⅩは、新ジャンルに物足りなさを感じるこだわり派ユーザーのニーズを満たすため、「本格的な飲みごたえ」を実現したビールです。,beer.png
1001007,B000000007,タキオン　ドラフトビール,1001,216,亜熱帯気候の中で育まれた爽快なのどごしと爽やかな味わいが特徴です。すっきりとした味わいの中にもビール本来の飲みごたえがあるビールです。,beer.png
1001008,B000000008,タキオン　サザンスター,1001,144,タキオン独自の醸造技術によりすっきりとした爽快な味わいを実現させたビールです。,beer.png
1001009,B000000009,厄介山ビール　オルト,1001,577,濃色麦芽が醸し出す香ばしい香りやコク、ほのかに感じる甘みとホップのすっきりとした苦味が特徴のビールです。,beer.png
1001010,B000000010,イチゴビール スカウト,1001,267,ロースと麦芽の香ばしい香りと、エール特有のフルーティーな香り、ホップの苦味の中にモルトの甘みが感じられる、クリーミーな泡立ち、芳醇なコクと香りのビールです。,beer.png
1001011,B000000011,黒雪ビール ダーク,1001,630,紅がかった褐色の色合いに芳ばしい香り、コクがあって少し甘味のある味わい深いビールです。 ,beer.png
1001012,B000000012,ひるひるエール（ペールエール）,1001,260,最高級アロマホップとエールモルトで結実したフルーティな香りと味わいのアメリカンペールエールです。美しい琥珀色、豊かなアロマ、ほんのり甘さを感じるコクと、少し強めの苦みフレーバーが特徴のです。,beer.png
1001013,B000000013,水無月ビール（アルト）,1001,390,美しく濃い赤銅色と白い泡、上面発酵酵母の上品な香り、原麦汁濃度は12％とドイツビールではやや低めですが旨みがあり、軽い甘みと深いコクが絶妙に調和しています。,beer.png
1001014,B000000014,宇宙高原ビール（ヴァイツェン）,1001,260,活きたビール酵母入りの新鮮さをご自宅でも味わっていただけるプレシャスなビールです。,beer.png
1001015,B000000015,エチゴビール　（ピルスナー）,1001,280,「チョコクラシック」にこだわり、ピルスナーのオリジナルホップとされるザーツ地方産ザーツ種のホップのみを贅沢に使用し、高貴な薫りと深趣な苦みを実現したビールです。,beer.png
1001016,B000000016,大阪ホワイト（ポーター）,1001,280,非常に飲みやすい黒ビールになっており、黒ビール独特のカラメルの甘みが抑えられていてすっきりとした喉越しと後味をしたビールです。,beer.png
1002001,S000000001,九蓮宝燈,1002,3040,九蓮宝燈シリーズの最高峰。山田錦を40%まで贅沢に磨き上げ、低温発酵で時間をかけて丁寧に醸した大吟醸の逸品です。,nihonsyu.png
1002002,S000000002,女山,1002,1551,江戸時代から、古今第一の名酒として歴史上に残る有名な方々の愛飲を受け、昔の貴重な資料と共に、現代に伝わる伝統の名酒です。,nihonsyu.png
1002003,S000000003,九ノ蔵　大吟醸,1002,5300,軽快でフルーティーな吟醸香と、涼やかで綺麗な味わいが特徴的な大吟醸。さらりとしてキレのある喉越しは草原に吹く風のような清々しさです。,nihonsyu.png
1002004,S000000004,猿蟹山 特別純米酒,1002,1500,日本酒が持つ爽やかな香味と、ほどよい旨みが調和して、軽くスムーズな酒質です。,nihonsyu.png
1002005,S000000005,荻の鳥,1002,3800,四十代系で香りが高い日本酒です。少し甘めで濃厚な味、メロン系のいい香りです。,nihonsyu.png
1002006,S000000006,澤ノ丼 銀の舞　,1002,2300,東京サミット（昭和61年、平成5年）の乾杯酒に使用された東京国税局管内（東京・神奈川・千葉・山梨）の蔵元数十社の共同銘柄酒です。,nihonsyu.png
1002007,S000000007,地乃原　純米吟醸,1002,1454,香りが良く、豊かで厚めの味わいで、濃厚に感じさせます。甘さもやや感じるさせます。,nihonsyu.png
1002008,S000000008,猛酒生（純米）,1002,1279,オーストラリア米とブルーマウンテンの天然水で醸造し、火入れせずに貯蔵した「純米生貯蔵酒」。さっぱりとして女性にも人気があります。,nihonsyu.png
1002009,S000000009,純米生酒 浦安,1002,1310,生酒ならではの清涼感あふれるフレッシュな味わいと純米酒らしい旨味と酸味の絶妙なバランス。,nihonsyu.png
1002010,S000000010,金剛の蔵,1002,2100,フルーティーな香りとまろやかな味わいが高級感を漂わせる至高の逸品。料理との相性も抜群の食中酒にぴったりな大吟醸です。,nihonsyu.png
1002011,S000000011,青銅の蔵 ,1002,1427,綺麗な香りとまろやかな旨味、そして飽きのこない後味のすっきりしたキレが絶妙な、山形の地酒「出羽燦々」の純米吟醸です。,nihonsyu.png
1002012,S000000012,赤の蔵 ,1002,1427,コクのある味わいが楽しめる逸品。冷でもお燗でもおいしいお酒です。,nihonsyu.png
1003001,A000000001,桜之露　ブラウン,1003,793,泡盛がもつ本来独特の旨みと、まろやかな風味を適度な濃度でストレートに表現した若酒。水で割っても崩れない味わいは泡盛初心者にもおすすめ。,awamori.png
1003002,A000000002,桜之露,1003,614,泡盛がもつ本来の独特の旨み・風味をストレートに表現した若酒。カッときてゴリッとくるが、それがまた良い。,awamori.png
1003003,A000000003,直之,1003,1650,直之酒造の最も基本となる泡盛です。コクがあって、水で割っても伸びがきくので水割りに最適な一品です。,awamori.png
1003004,A000000004,ばなんぎぃ,1003,1800,日本最西端、与那国島の泡盛。「ばなんぎぃ」とは八重山の方言で「冗談」の意。酸味を抑えたモロミにより柔らかな口当たりです。,awamori.png
1003005,A000000005,久留米の久留米仙,1003,1953,名水「堂井（ドーガー）」の沸清水により醸された泡盛。盛鑑評会金賞、泡盛鑑評会県知事賞受賞。,awamori.png
1003006,A000000006,久留米の久留米仙古酒,1003,2289,甘く、飲み口さわやか。エメラルドの海と自然が育てた味と香りとも充分に堪能できる魅力いっぱいの古酒です。,awamori.png
1003007,A000000007,師華,1003,750,黒麹を用い、１００％こうじだけで低温発酵させた常圧蒸留により、黒麹のコクと、泡盛本来の旨みが調和した最もソフトで口当たり爽快な泡盛です。蒸留にこだわった泡盛です。,awamori.png
1003008,A000000008,中心泉古酒,1003,2982,古酒造りの伝統を誇る瑞泉が放つ、本格かめ貯蔵による長期熟成古酒です。,awamori.png
1003009,A000000009,黒キ竜,1003,3500,首里城の隣で、貴重な「古酒（クース）」の伝統と誇りを受け継ぎ　古酒貯蔵量の随一を誇ります。かめ貯蔵からくる深いコク、古酒独特のまろやかな味わいが絶品の１０年古酒泡盛です。,awamori.png
1003010,A000000010,新都首里,1003,2166,古都首里その名のとおり琉球王朝の膝元，泡盛発祥の地，首里で１９８３年蒸留の古酒をブレンドし，芳醇な味わいにこだわりました。,awamori.png
1003011,A000000011,琉美,1003,7350,古酒のもつ、まろやかな甘みと、やわらかな古酒香を全面的に引き出した泡盛。,awamori.png
1003012,A000000012,うっさん,1003,1950,「うっさん」とは沖縄の方言で「うれしい」という意味。ソフトな中にも伝統的な味わいが残されています。,awamori.png
2001001,C000000001,パイの果実,2001,381,パイ生地のサクっとした食感と、あまーいチョコレートの絶妙な合わせ技が癖になります。,choco_cookie.png
2001002,C000000002,ヤットカッタ,2001,150,ウエハースの間にチョコレートが何層にもなっているのに、アメリカンなウエハース菓子とは違った軽い味わい。腹持ちも程よく、量もちょうど良い。持ち運びも箱に入っているので携帯しやすい、コーヒーにも合うチョコレート。,choco_cookie.png
2001003,C000000003,黒い雷,2001,582,ザクザク食感がたまらない！チョコが濃くっていい！,choco_cookie.png
2001004,C000000004,竹槍の里,2001,150,チョコは程よく甘くてそれが下のクッキーの部分によく合うんです。ほんとに美味しい。,choco_cookie.png
2001005,C000000005,イナイフォート,2001,120,全粒粉を使用したビスケットが、香りがよく素朴な味わいです。また、同じくらいの厚みのチョコレートと溶け合ったバランスがたまりません。,choco_cookie.png
